	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	    2.000000000	   47.309999466	    6.095259699	    0.097222222	    0.000622939	    0.003793598	   -2.532373284	    0.411246342	   -0.007206463	    0.121621631	   69.447297380	   65.000000000	   70.847692343	   12.989359823	    9.000000000	   59.333333757	    9.903984420	   72.000000000	   70.062222322	   12.774654607	
r1	    8.000000000	   52.674999237	    4.060140982	    0.015384615	   -0.001875576	    0.003158453	   -2.435891975	    0.392377074	   -0.001568536	    0.082191779	   73.789999923	   67.000000000	   74.179253706	   15.263988134	    6.000000000	   69.443332672	   15.007727938	   65.000000000	   76.388769238	   13.978691921	
r1	   58.000000000	   51.448620632	    5.890932833	    0.611940299	   -0.013931462	    0.003676142	   -1.539990833	    0.378933909	   -0.000605978	    0.096000002	   64.641200043	  113.000000000	   64.830000042	   17.321366350	   12.000000000	   62.863333384	   11.913485980	   67.000000000	   76.061641921	   14.768577610	
r1	   67.000000000	   50.654029846	    5.272289598	    0.000000000	   -0.013551703	    0.002762839	   -2.415960142	    0.593773241	   -0.002168488	    0.122222225	   61.064172279	  158.000000000	   61.704373492	   16.028921888	   22.000000000	   56.466363560	   16.588825523	  113.000000000	   67.236557614	   17.228937035	
r1	   23.000000000	   54.087826273	    6.891120857	    0.012658228	   -0.001092463	    0.001897302	   -2.530576512	    0.432056176	   -0.002494909	    0.127071815	   64.992718312	  158.000000000	   65.798050796	   17.448758907	   23.000000000	   59.460434292	   10.432399527	  158.000000000	   66.580139305	   17.269486623	
r1	   25.000000000	   55.172400055	    5.689378579	    0.000000000	   -0.004180765	    0.001937648	   -2.252252568	    0.467172863	   -0.001174527	    0.049180331	   69.294688365	  174.000000000	   69.700390673	   18.244434154	    9.000000000	   61.451110416	   15.554907582	  158.000000000	   71.529227655	   18.468581656	
r1	   16.000000000	   55.296874762	    5.700632108	    0.017241379	    0.001463991	    0.001861278	   -2.850740822	    0.481675841	   -0.001279028	    0.042105261	   73.058057926	  182.000000000	   73.587368137	   19.954817093	    8.000000000	   61.016250610	   17.046935900	  174.000000000	   74.691270171	   20.017265176	
r1	   15.000000000	   58.206000010	    4.078758220	    0.016483516	   -0.001812620	    0.001844342	   -2.506324068	    0.520270623	   -0.002013947	    0.086294414	   77.778365159	  180.000000000	   78.769044134	   21.489840640	   17.000000000	   67.288823072	   15.475572143	  182.000000000	   79.391472177	   21.296510874	
r1	   11.000000000	   54.276363720	    4.207857583	    0.016666667	   -0.000012389	    0.001604725	   -2.784372499	    0.474292847	   -0.000740828	    0.115183248	   82.412288027	  169.000000000	   82.874006012	   23.790186228	   22.000000000	   78.865454414	   21.747765210	  180.000000000	   84.131705623	   23.147736894	
r1	   18.000000000	   59.387222078	    3.646154785	    0.011834320	   -0.001851583	    0.001558241	   -2.634416281	    0.476507992	   -0.001560849	    0.074866311	   85.715508058	  173.000000000	   86.800346882	   25.790133907	   14.000000000	   72.309999738	   15.487966299	  169.000000000	   88.519704198	   25.143432203	
